arrival_time,first_executed_time,job_size
26,26,29
57,57,26
82,83,12
102,102,10
127,127,9
152,152,22
182,182,19
206,206,8
225,225,72
247,297,9
263,306,10
283,316,9
313,325,9
339,339,10
365,365,11
391,391,11
418,418,177
441,595,14
461,609,9
482,618,8
500,626,90
533,716,9
550,725,35
575,760,31
604,791,17
629,808,441
660,1249,20
684,1269,25
709,1294,24
726,1318,34
744,1352,10
765,1362,21
790,1383,52
811,1435,10
835,1445,8
857,1453,50
876,1503,17
901,1520,15
922,1535,33
936,1568,9
957,1577,10
992,1587,11
1017,1598,15
1039,1613,19
1065,1632,12
1089,1644,13
1117,1657,12
1143,1669,36
1165,1705,73
1183,1778,21
1215,1799,15
1236,1814,18
1266,1832,14
1282,1846,8
1308,1854,15
1341,1869,13
1366,1882,9
1390,1891,11
1419,1902,12
1449,1914,40
1472,1954,17
1496,1971,52
1518,2023,14
1542,2037,8
1561,2045,10
1586,2055,13
1613,2068,11
1632,2079,9
1655,2088,12
1680,2100,12
1701,2112,11
1726,2123,9
1753,2132,90
1780,2222,32
1792,2254,37
1816,2291,52
1842,2343,8
1870,2351,9
1897,2360,14
1927,2374,86
1951,2460,29
1976,2489,8
2007,2497,38
2025,2535,8
2061,2543,9
2080,2552,13
2106,2565,8
2133,2573,11
2151,2584,23
2173,2607,19
2198,2626,8
2222,2634,18
2261,2652,8
2282,2660,40
2313,2700,42
2332,2742,9
2350,2751,26
2381,2777,16
2408,2793,8
2437,2801,11
2457,2812,62
2482,2874,21
2515,2895,35
2539,2930,17
2561,2947,26
2588,2973,235
2614,3208,36
2638,3244,60
2665,3304,40
2696,3344,10
2730,3354,19
2756,3373,8
2783,3381,308
2804,3689,8
2828,3697,12
2846,3709,17
2877,3726,36
2898,3762,49
2931,3811,10
2960,3821,12
2976,3833,8
2994,3841,438
3007,4279,12
3029,4291,12
3047,4303,31
3067,4334,30
3088,4364,9
3107,4373,66
3123,4439,27
3143,4466,310
3161,4776,11
3187,4787,43
3211,4830,10
3234,4840,69
3260,4909,52
3286,4961,12
3310,4973,20
3337,4993,20
3371,5013,10
3394,5023,31
3417,5054,10
3437,5064,18
3458,5082,21
3470,5103,10
3500,5113,8
3522,5121,10
3546,5131,13
3572,5144,10
3593,5154,12
3617,5166,15
3636,5181,21
3661,5202,35
3688,5237,8
3708,5245,8
3735,5253,11
3755,5264,19
3772,5283,10
3800,5293,19
3819,5312,9
3843,5321,8
3865,5329,12
3895,5341,8
3914,5349,8
3933,5357,15
3956,5372,10
3980,5382,9
4005,5391,20
4025,5411,14
4056,5425,17
4083,5442,21
4109,5463,9
4131,5472,121
4149,5593,8
4168,5601,9
4187,5610,23
4215,5633,11
4243,5644,23
4261,5667,13
4284,5680,15
4304,5695,21
4323,5716,8
4347,5724,16
4373,5740,8
4398,5748,13
4421,5761,47
4442,5808,8
4465,5816,8
4490,5824,10
4510,5834,37
4535,5871,10
4561,5881,15
4583,5896,63
4610,5959,12
4628,5971,15
4654,5986,13
4667,5999,12
4696,6011,20
4714,6031,9
4727,6040,20
4756,6060,9
4770,6069,27
4797,6096,9
4827,6105,8
4854,6113,11
4885,6124,69
4912,6193,14
4937,6207,8
4964,6215,9
4988,6224,15
5017,6239,10
5040,6249,11
5069,6260,14
5100,6274,26
5125,6300,15
5149,6315,9
5174,6324,89
5199,6413,11
5219,6424,31
5251,6455,26
5272,6481,68
5297,6549,23
5313,6572,18
5333,6590,16
5365,6606,60
5389,6666,42
5414,6708,8
