arrival_rate,bp_parameter,RR_L2_Norm,SRPT_L2_Norm,SETF_L2_Norm,FCFS_L2_Norm,RMLF_L2_Norm
40,"{'L': 16.772, 'H': 64}",25965.552025712837,698.5162847063767,1361.7639296148213,672.8476796422798,1272.4806481829105
40,"{'L': 7.918, 'H': 512}",25450.97365524549,554.892782436391,717.3409231320907,636.9748817653644,723.658759361068
40,"{'L': 5.649, 'H': 4096}",23117.561701009905,461.37403481340385,500.1039891862491,686.476510887299,512.0605432954193
40,"{'L': 4.639, 'H': 32768}",25780.165302030164,1435.3633686283067,1807.7696202779823,2506.0592570807257,1645.6606576083661
40,"{'L': 4.073, 'H': 262144}",22488.292620828288,407.1154627375384,429.7731959999367,550.587867646936,442.703060752916
40,"{'L': 56.3, 'H': 64}",35144.84277956013,19932.235825416075,30861.590626537705,14824.069178198002,31578.89163666135
40,"{'L': 18.9, 'H': 512}",34031.703909736876,8011.739823533962,14055.621544421292,12082.240520698137,13049.973563191614
40,"{'L': 12.4, 'H': 4096}",63843.461521129946,9307.716207534477,9811.171031023769,42712.994849342984,10219.919764851385
40,"{'L': 9.8, 'H': 32768}",29507.779381037806,4365.208013371184,7864.002861138849,7478.11493626569,7258.331902028179
40,"{'L': 8.5, 'H': 262144}",29961.17851487154,2691.0635444002432,5311.804589779259,4414.311384576308,4312.446753294468
40,"{'L': 32.3, 'H': 512}",53488.72624207834,18795.654737199235,34859.34468689852,26234.226308393394,31218.399014042985
40,"{'L': 19.7, 'H': 4096}",44308.144296506034,14634.514751094413,24760.84503808382,22187.501278873202,22966.643659882044
40,"{'L': 15.3, 'H': 32768}",43168.31343705705,10824.93367185222,17311.669128076588,22546.886459110046,16370.386434046082
40,"{'L': 13.0, 'H': 262144}",25956.123709059488,3812.5597700232843,7698.485500408506,3936.0537343893056,7243.0198122054035
