arrival_rate,RR_L2_Norm,SRPT_L2_Norm,SETF_L2_Norm,FCFS_L2_Norm,RMLF_L2_Norm
20,18614515.39281587,3280127.6944187707,7694064.1926019825,6976656.98369821,5947884.992052806
22,36220434.08500231,8310002.511908886,19434479.7628785,23421173.420997486,14091522.139036044
24,37421591.210875824,11754076.973220909,24500495.77170356,23777592.384045508,19615149.075680025
26,35979234.457469285,9124854.895431543,19949679.356714133,21090352.584927805,15541017.115635226
28,40681649.90585065,6162716.66133792,12024486.331364263,24417253.727584723,10501402.399504507
30,46556018.729128234,8438157.263404196,18951152.38153237,29306144.41320243,14189482.470586339
32,38339086.01740038,5420473.959545512,11906399.656070093,19943798.830190375,8954043.750954593
34,44204972.42261418,9411293.919075953,22559856.873255644,24524787.329441942,16527646.284197032
36,31081126.136730116,2340249.53071227,5468157.957240171,9824052.320848204,4216297.158817083
38,28645177.892773278,1867442.3918083792,4380953.6676090285,7736852.377861555,3033842.8467059727
40,34098930.43175176,6058859.698519681,11928826.456570571,11428334.503382372,10720533.291292649
