arrival_rate,RR_L2_Norm,SRPT_L2_Norm,SETF_L2_Norm,FCFS_L2_Norm,RMLF_L2_Norm,DYNAMIC_L2_Norm,RFdynamic_L2_Norm,BAL_L2_Norm
20,626559.8199645425,408548.8633737707,879852.1649169251,895247.3897102409,664623.5583606708,408548.8633737707,714827.0528659362,382113.03596972453
22,666833.904135805,414178.5614502518,865097.910455805,794603.2596837241,674863.20981959,414178.5614502518,751094.0583029531,396225.01275285485
24,57392.92958196157,44027.657387147,64025.828405417764,377979.7458753577,61968.26800064691,44027.657387147,66513.34490160602,43941.986539072175
26,899959.0528901856,559852.7036435566,1327899.4894411247,1307144.847715432,939608.5285596338,559852.7036435566,1410989.3363211502,549995.9862944456
28,786674.6765919188,495021.181002389,969357.4313079773,840315.5159349374,845406.8887328752,495021.181002389,876703.9824958023,479617.78119352495
30,20596.464866573584,15352.361870409386,22661.011274874738,35182.59326712572,21746.834758189525,15352.361870409386,23692.85789009,15157.908562859191
32,409930.27267817146,238449.58290800176,487184.9404764068,474145.0717871061,400475.3673560959,238449.58290800176,491063.49894387386,221332.11459930526
34,11984.684434727516,8275.258908336344,15981.126556034778,12277.49750559942,14302.98832412304,8275.258908336344,14237.707961606742,8254.397252374034
36,352893.88560160686,233263.56270107854,534802.700972985,408606.6980569457,436877.32125277456,233263.56270107854,436728.86085190205,212709.2935111205
38,576442.9607341909,375323.85938413243,831357.8342386629,811772.1684783237,638676.3664039872,375323.85938413243,854381.6410053531,340382.30218535155
40,166525.10465692554,107176.91382942504,186564.36424730206,370620.9647051823,165606.54615684733,107176.91382942504,198587.3387202719,106999.59869083622
