frequency,Dynamic_BAL_njobs100_mode1_L2_norm_flow_time,Dynamic_BAL_njobs100_mode2_L2_norm_flow_time,Dynamic_BAL_njobs100_mode3_L2_norm_flow_time,Dynamic_BAL_njobs100_mode4_L2_norm_flow_time,Dynamic_BAL_njobs100_mode5_L2_norm_flow_time,Dynamic_BAL_njobs100_mode6_L2_norm_flow_time,Dynamic_BAL_njobs100_mode7_L2_norm_flow_time,Dynamic_BAL_njobs100_mode1_max_flow_time,Dynamic_BAL_njobs100_mode2_max_flow_time,Dynamic_BAL_njobs100_mode3_max_flow_time,Dynamic_BAL_njobs100_mode4_max_flow_time,Dynamic_BAL_njobs100_mode5_max_flow_time,Dynamic_BAL_njobs100_mode6_max_flow_time,Dynamic_BAL_njobs100_mode7_max_flow_time
1024,177627.334712,177627.334712,177627.334712,177627.334712,177627.334712,177627.334712,177627.334712,47256.000000,47256.000000,47256.000000,47256.000000,47256.000000,47256.000000,47256.000000
8,192700.055130,192700.055130,192700.055130,192700.055130,192700.055130,192700.055130,192700.055130,47185.000000,47185.000000,47185.000000,47185.000000,47185.000000,47185.000000,47185.000000
8192,70802.394317,70802.394317,70802.394317,70802.394317,70802.394317,70802.394317,70802.394317,28737.000000,28737.000000,28737.000000,28737.000000,28737.000000,28737.000000,28737.000000
2,161850.209845,161850.209845,161850.209845,161850.209845,161850.209845,161850.209845,161850.209845,33068.000000,33068.000000,33068.000000,33068.000000,33068.000000,33068.000000,33068.000000
65536,323575.247275,323575.247275,323575.247275,323575.247275,323575.247275,323575.247275,323575.247275,48876.000000,48876.000000,48876.000000,48876.000000,48876.000000,48876.000000,48876.000000
16384,35939.288877,35939.288877,35939.288877,35939.288877,35939.288877,35939.288877,35939.288877,13259.000000,13259.000000,13259.000000,13259.000000,13259.000000,13259.000000,13259.000000
32,188924.042329,188924.042329,188924.042329,188924.042329,188924.042329,188924.042329,188924.042329,44921.000000,44921.000000,44921.000000,44921.000000,44921.000000,44921.000000,44921.000000
4,182894.601492,182894.601492,182894.601492,182894.601492,182894.601492,182894.601492,182894.601492,44518.000000,44518.000000,44518.000000,44518.000000,44518.000000,44518.000000,44518.000000
32768,78968.739562,78968.739562,78968.739562,78968.739562,78968.739562,78968.739562,78968.739562,3757.000000,3757.000000,3757.000000,3757.000000,3757.000000,3757.000000,3757.000000
128,199447.458836,199447.458836,199447.458836,199447.458836,199447.458836,199447.458836,199447.458836,43524.000000,43524.000000,43524.000000,43524.000000,43524.000000,43524.000000,43524.000000
2048,236531.444273,232738.385074,202823.612338,236531.444273,236531.444273,202823.612338,202823.612338,53797.000000,53797.000000,53797.000000,53797.000000,53797.000000,53797.000000,53797.000000
64,181628.800775,181628.800775,181628.800775,181628.800775,181628.800775,181628.800775,181628.800775,49019.000000,49019.000000,49019.000000,49019.000000,49019.000000,49019.000000,49019.000000
512,169804.222554,169804.222554,169804.222554,169804.222554,169804.222554,169804.222554,169804.222554,34691.000000,34691.000000,34691.000000,34691.000000,34691.000000,34691.000000,34691.000000
256,257196.718539,204351.339193,204351.339193,249608.900617,257196.718539,204351.339193,204351.339193,44475.000000,53385.000000,53385.000000,44475.000000,44475.000000,53385.000000,53385.000000
4096,254644.398906,254644.398906,254644.398906,254644.398906,254644.398906,254644.398906,254644.398906,147979.000000,147979.000000,147979.000000,147979.000000,147979.000000,147979.000000,147979.000000
16,198938.950178,198938.950178,198938.950178,198938.950178,198938.950178,198938.950178,198938.950178,51726.000000,51726.000000,51726.000000,51726.000000,51726.000000,51726.000000,51726.000000
