frequency,Dynamic_njobs100_mode1_L2_norm_flow_time,Dynamic_njobs100_mode2_L2_norm_flow_time,Dynamic_njobs100_mode3_L2_norm_flow_time,Dynamic_njobs100_mode4_L2_norm_flow_time,Dynamic_njobs100_mode5_L2_norm_flow_time,Dynamic_njobs100_mode6_L2_norm_flow_time,Dynamic_njobs100_mode7_L2_norm_flow_time,Dynamic_njobs100_mode1_max_flow_time,Dynamic_njobs100_mode2_max_flow_time,Dynamic_njobs100_mode3_max_flow_time,Dynamic_njobs100_mode4_max_flow_time,Dynamic_njobs100_mode5_max_flow_time,Dynamic_njobs100_mode6_max_flow_time,Dynamic_njobs100_mode7_max_flow_time
4,185437.551262,185437.551262,185437.551262,185437.551262,185437.551262,185437.551262,185437.551262,44898.000000,44898.000000,44898.000000,44898.000000,44898.000000,44898.000000,44898.000000
8192,173186.501267,177063.466593,174540.923565,181035.698419,173186.501267,150251.888790,150251.888790,17926.000000,13995.000000,14311.000000,19617.000000,17926.000000,23923.000000,23923.000000
16384,376432.142402,373435.854765,373435.854765,376432.142402,376432.142402,373435.854765,373435.854765,51947.000000,52352.000000,52352.000000,51947.000000,51947.000000,52352.000000,52352.000000
512,221730.701007,221730.701007,221730.701007,221730.701007,221730.701007,221730.701007,221730.701007,45615.000000,45615.000000,45615.000000,45615.000000,45615.000000,45615.000000,45615.000000
128,238662.662591,238662.662591,238662.662591,238662.662591,238662.662591,238662.662591,238662.662591,45578.000000,45578.000000,45578.000000,45578.000000,45578.000000,45578.000000,45578.000000
16,202681.358267,202681.358267,202681.358267,202681.358267,202681.358267,202681.358267,202681.358267,49153.000000,49153.000000,49153.000000,49153.000000,49153.000000,49153.000000,49153.000000
4096,463400.164891,413244.870516,463400.164891,463400.164891,463400.164891,413244.870516,413244.870516,79003.000000,79003.000000,79003.000000,79003.000000,79003.000000,79003.000000,79003.000000
8,187690.529756,187690.529756,187690.529756,187690.529756,187690.529756,187690.529756,187690.529756,48355.000000,48355.000000,48355.000000,48355.000000,48355.000000,48355.000000,48355.000000
32,196621.874973,196621.874973,196621.874973,196621.874973,196621.874973,196621.874973,196621.874973,59932.000000,59932.000000,59932.000000,59932.000000,59932.000000,59932.000000,59932.000000
1024,164177.942437,164177.942437,164177.942437,164177.942437,164177.942437,164177.942437,164177.942437,39489.000000,39489.000000,39489.000000,39489.000000,39489.000000,39489.000000,39489.000000
64,182159.003404,184206.839621,182159.003404,182159.003404,182159.003404,182159.003404,184206.839621,42014.000000,36245.000000,42014.000000,42014.000000,42014.000000,42014.000000,36245.000000
32768,129263.474539,129263.474539,129263.474539,129263.474539,129263.474539,129263.474539,129263.474539,7010.000000,7010.000000,7010.000000,7010.000000,7010.000000,7010.000000,7010.000000
2048,78115.005742,78115.005742,78115.005742,78115.005742,78115.005742,78115.005742,78115.005742,32784.000000,32784.000000,32784.000000,32784.000000,32784.000000,32784.000000,32784.000000
256,165952.006074,165952.006074,165952.006074,165952.006074,165952.006074,165952.006074,165952.006074,42937.000000,42937.000000,42937.000000,42937.000000,42937.000000,42937.000000,42937.000000
2,203108.700759,203108.700759,203108.700759,203108.700759,203108.700759,203108.700759,203108.700759,44869.000000,44869.000000,44869.000000,44869.000000,44869.000000,44869.000000,44869.000000
65536,275293.667888,275293.667888,275293.667888,275293.667888,275293.667888,275293.667888,275293.667888,84712.000000,84712.000000,84712.000000,84712.000000,84712.000000,84712.000000,84712.000000
