frequency,Dynamic_njobs100_mode1_L2_norm_flow_time,Dynamic_njobs100_mode2_L2_norm_flow_time,Dynamic_njobs100_mode3_L2_norm_flow_time,Dynamic_njobs100_mode4_L2_norm_flow_time,Dynamic_njobs100_mode5_L2_norm_flow_time,Dynamic_njobs100_mode6_L2_norm_flow_time,Dynamic_njobs100_mode7_L2_norm_flow_time,Dynamic_njobs100_mode1_max_flow_time,Dynamic_njobs100_mode2_max_flow_time,Dynamic_njobs100_mode3_max_flow_time,Dynamic_njobs100_mode4_max_flow_time,Dynamic_njobs100_mode5_max_flow_time,Dynamic_njobs100_mode6_max_flow_time,Dynamic_njobs100_mode7_max_flow_time
1024,527180.639113,527180.639113,527180.639113,527180.639113,527180.639113,527180.639113,527180.639113,112666.000000,112666.000000,112666.000000,112666.000000,112666.000000,112666.000000,112666.000000
128,424838.585600,424838.585600,424838.585600,424838.585600,424838.585600,424838.585600,424838.585600,71394.000000,71394.000000,71394.000000,71394.000000,71394.000000,71394.000000,71394.000000
16384,8296.366012,8296.366012,8296.366012,8296.366012,8296.366012,8296.366012,8296.366012,5123.000000,5123.000000,5123.000000,5123.000000,5123.000000,5123.000000,5123.000000
16,229792.296770,229792.296770,229792.296770,229792.296770,229792.296770,229792.296770,229792.296770,41695.000000,41695.000000,41695.000000,41695.000000,41695.000000,41695.000000,41695.000000
2048,13168.445846,13168.445846,13168.445846,13168.445846,13168.445846,13168.445846,13168.445846,6789.000000,6789.000000,6789.000000,6789.000000,6789.000000,6789.000000,6789.000000
256,255287.338852,255287.338852,255287.338852,255287.338852,255287.338852,255287.338852,255287.338852,57566.000000,57566.000000,57566.000000,57566.000000,57566.000000,57566.000000,57566.000000
2,251049.725744,251049.725744,251049.725744,251049.725744,251049.725744,251049.725744,251049.725744,67353.000000,67353.000000,67353.000000,67353.000000,67353.000000,67353.000000,67353.000000
32768,38007.510455,38007.510455,38007.510455,38007.510455,38007.510455,38007.510455,38007.510455,30236.000000,30236.000000,30236.000000,30236.000000,30236.000000,30236.000000,30236.000000
32,381645.699196,381645.699196,381645.699196,381645.699196,381645.699196,381645.699196,381645.699196,101024.000000,101024.000000,101024.000000,101024.000000,101024.000000,101024.000000,101024.000000
4096,229862.386914,229862.386914,229862.386914,229862.386914,229862.386914,229862.386914,229862.386914,58430.000000,58430.000000,58430.000000,58430.000000,58430.000000,58430.000000,58430.000000
4,14684.979843,14684.979843,14684.979843,14684.979843,14684.979843,14684.979843,14684.979843,14046.000000,14046.000000,14046.000000,14046.000000,14046.000000,14046.000000,14046.000000
512,28246.743476,28246.743476,29174.990111,28246.743476,28246.743476,29174.990111,29174.990111,21139.000000,21139.000000,24192.000000,21139.000000,21139.000000,24192.000000,24192.000000
64,200170.045569,200170.045569,200170.045569,200170.045569,200170.045569,200170.045569,200170.045569,65744.000000,65744.000000,65744.000000,65744.000000,65744.000000,65744.000000,65744.000000
65536,192681.755517,192681.755517,192681.755517,192681.755517,192681.755517,192681.755517,192681.755517,46348.000000,46348.000000,46348.000000,46348.000000,46348.000000,46348.000000,46348.000000
8192,158390.569678,158390.569678,158390.569678,158390.569678,158390.569678,158390.569678,158390.569678,44284.000000,44284.000000,44284.000000,44284.000000,44284.000000,44284.000000,44284.000000
8,225745.100239,225745.100239,225745.100239,225745.100239,225745.100239,225745.100239,225745.100239,43382.000000,43382.000000,43382.000000,43382.000000,43382.000000,43382.000000,43382.000000
