frequency,Dynamic_njobs1_mode1_L2_norm_flow_time,Dynamic_njobs1_mode1_maximum_flow_time
1024,112858948.117607,3461681.000000
128,1010387.438238,788709.000000
16384,4093325.961463,664720.000000
16,64416036.934911,2325084.000000
2048,73523866.562403,2201726.000000
256,110720563.452538,3413032.000000
2,60708972.065994,2217323.000000
32768,3634149.421137,1018157.000000
32,511438.952837,393392.000000
4096,1449578.584978,755035.000000
4,108641260.102315,3428678.000000
512,60894976.897810,2215693.000000
64,1751570.001420,912628.000000
65536,55683603.062569,2127160.000000
8192,2775841.353182,807721.000000
8,61079250.937664,2231562.000000
