frequency,Dynamic_njobs100_mode1_L2_norm_flow_time,Dynamic_njobs100_mode2_L2_norm_flow_time,Dynamic_njobs100_mode3_L2_norm_flow_time,Dynamic_njobs100_mode4_L2_norm_flow_time,Dynamic_njobs100_mode5_L2_norm_flow_time,Dynamic_njobs100_mode6_L2_norm_flow_time,Dynamic_njobs100_mode7_L2_norm_flow_time,Dynamic_njobs100_mode1_max_flow_time,Dynamic_njobs100_mode2_max_flow_time,Dynamic_njobs100_mode3_max_flow_time,Dynamic_njobs100_mode4_max_flow_time,Dynamic_njobs100_mode5_max_flow_time,Dynamic_njobs100_mode6_max_flow_time,Dynamic_njobs100_mode7_max_flow_time
1024,209394.508483,209394.508483,209394.508483,209394.508483,209394.508483,209394.508483,209394.508483,48717.000000,48717.000000,48717.000000,48717.000000,48717.000000,48717.000000,48717.000000
2048,305456.711146,310799.674416,311931.442929,311931.442929,305456.711146,249776.595331,311931.442929,18970.000000,20599.000000,29408.000000,29408.000000,18970.000000,42779.000000,29408.000000
128,190555.966608,190555.966608,190555.966608,190555.966608,190555.966608,190555.966608,190555.966608,43984.000000,43984.000000,43984.000000,43984.000000,43984.000000,43984.000000,43984.000000
16,197441.166108,197441.166108,197441.166108,197441.166108,197441.166108,197441.166108,197441.166108,55562.000000,55562.000000,55562.000000,55562.000000,55562.000000,55562.000000,55562.000000
256,229051.212531,229051.212531,229051.212531,229051.212531,229051.212531,229051.212531,229051.212531,45526.000000,45526.000000,45526.000000,45526.000000,45526.000000,45526.000000,45526.000000
2,198038.735812,198038.735812,198038.735812,198038.735812,198038.735812,198038.735812,198038.735812,36565.000000,36565.000000,36565.000000,36565.000000,36565.000000,36565.000000,36565.000000
16384,16327.405673,16327.405673,16327.405673,16327.405673,16327.405673,16327.405673,16327.405673,14808.000000,14808.000000,14808.000000,14808.000000,14808.000000,14808.000000,14808.000000
32,193844.579808,193844.579808,193844.579808,193844.579808,193844.579808,193844.579808,193844.579808,42471.000000,42471.000000,42471.000000,42471.000000,42471.000000,42471.000000,42471.000000
64,176189.920821,176189.920821,176189.920821,176189.920821,176189.920821,176189.920821,176189.920821,42499.000000,42499.000000,42499.000000,42499.000000,42499.000000,42499.000000,42499.000000
4,182793.856855,182793.856855,182793.856855,182793.856855,182793.856855,182793.856855,182793.856855,44917.000000,44917.000000,44917.000000,44917.000000,44917.000000,44917.000000,44917.000000
512,195885.050882,195885.050882,195885.050882,195885.050882,195885.050882,195885.050882,195885.050882,51255.000000,51255.000000,51255.000000,51255.000000,51255.000000,51255.000000,51255.000000
8192,409324.470929,374111.892489,274637.261744,274637.261744,409324.470929,216885.587101,216885.587101,29582.000000,35763.000000,53414.000000,53414.000000,29582.000000,59980.000000,59980.000000
65536,12837.904073,12837.904073,12837.904073,12837.904073,12837.904073,12837.904073,12837.904073,10948.000000,10948.000000,10948.000000,10948.000000,10948.000000,10948.000000,10948.000000
4096,177673.019800,177673.019800,177673.019800,177673.019800,177673.019800,177673.019800,177673.019800,45491.000000,45491.000000,45491.000000,45491.000000,45491.000000,45491.000000,45491.000000
8,151183.707297,151183.707297,151183.707297,151183.707297,151183.707297,151183.707297,151183.707297,46433.000000,46433.000000,46433.000000,46433.000000,46433.000000,46433.000000,46433.000000
32768,10720.036241,10720.036241,10720.036241,10720.036241,10720.036241,10720.036241,10720.036241,3833.000000,3833.000000,3833.000000,3833.000000,3833.000000,3833.000000,3833.000000
