frequency,Dynamic_njobs1_mode1_L2_norm_flow_time,Dynamic_njobs1_mode1_max_flow_time
1024,456267.474239,83568.000000
128,26726.089145,18320.000000
16384,44220.983503,25706.000000
16,513284.624770,271116.000000
2048,623899.643342,75689.000000
256,397123.720188,69667.000000
2,24383.256612,15493.000000
32768,19023.737619,11040.000000
32,233834.685282,42861.000000
4096,23701.157292,14227.000000
4,237520.894725,44847.000000
512,25184.229927,18699.000000
64,9298.934455,4199.000000
65536,501804.912826,86224.000000
8192,298043.210059,77021.000000
8,9264.668046,4634.000000
