frequency,Dynamic_njobs1_mode1_L2_norm_flow_time,Dynamic_njobs1_mode1_max_flow_time
1024,275404.328292,53079.000000
128,179778.994076,44652.000000
256,160065.276369,48632.000000
2048,236454.875274,42384.000000
16,208237.968262,41980.000000
2,178504.875090,54782.000000
16384,478158.821661,70197.000000
512,189219.139148,41861.000000
32,200315.327319,41792.000000
32768,22965.095950,11464.000000
8192,381221.662327,49635.000000
65536,39914.334869,29258.000000
64,159180.761391,44528.000000
4096,176272.790691,39477.000000
8,189943.348133,44231.000000
4,202038.860705,51653.000000
